@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute rawx numeric
@attribute rawy numeric
@attribute rawz numeric
@attribute accx numeric
@attribute accy numeric
@attribute accz numeric
@attribute rot1 numeric
@attribute rot2 numeric
@attribute rot3 numeric
@attribute rot4 numeric
@attribute azimuth numeric
@attribute pitch numeric
@attribute roll numeric
@attribute OnOff {0,1,2}
@attribute CutoffFreq numeric
@attribute Gain numeric
@attribute Q numeric
@attribute Vol numeric

@data
330,'2020/07/02 18:12:55:571',19,0.037506,-0.624084,10.171371,6.052181,-2.531373,-0.086035,-0.027534,-0.013594,0.999207,0.025331,172.91925,1.433629,4.469281,2,?,?,?,?
331,'2020/07/02 18:12:55:673',19,0.075012,-0.108536,10.081177,-5.552189,0.782274,0.081992,-0.022357,-0.013587,0.999176,0.031017,172.91925,1.433629,4.469281,2,?,?,?,?
332,'2020/07/02 18:12:55:773',19,0.077408,0.040695,10.116302,-5.552189,0.782274,0.081992,-0.021419,-0.013083,0.999171,0.032062,176.616898,1.607588,2.456254,2,?,?,?,?
338,'2020/07/02 18:15:40:732',20,0.076614,0.021545,10.117889,-0.00038,-0.002158,-0.000108,0.003784,0.001177,0.995375,0.095988,169.174301,0.1812,0.418542,1,?,?,?,?
339,'2020/07/02 18:15:40:840',20,0.076614,0.028732,10.120285,-0.00038,-0.002158,-0.000108,0.003789,0.001242,0.995373,0.096003,169.174301,0.1812,0.418542,1,?,?,?,?
340,'2020/07/02 18:15:40:951',20,0.074219,0.023941,10.127472,0.002397,-0.000125,0.001527,0.003783,0.001273,0.995373,0.095999,168.393066,0.183387,0.41856,1,?,?,?,?
341,'2020/07/02 18:15:41:137',20,0.069427,0.043091,10.125076,0.002397,-0.000125,0.001527,0.00375,0.001326,0.995377,0.095964,168.957687,0.187152,0.412463,1,?,?,?,?
342,'2020/07/02 18:15:41:312',20,0.071823,0.043091,10.110718,-0.001219,0.001821,0.002612,0.003735,0.001372,0.995378,0.09595,168.957687,0.187152,0.412463,1,?,?,?,?
355,'2020/07/02 18:17:18:778',22,9.527328,0.062256,2.051834,0.009902,-0.001817,-0.049463,0.628086,0.003128,0.778137,0.000786,179.14801,0.336712,77.978378,?,?,?,?,?
356,'2020/07/02 18:17:18:815',22,9.522537,0.061447,2.070984,0.009902,-0.001817,-0.049463,0.627495,0.00336,0.778613,0.000593,177.746033,0.338955,77.778572,?,?,?,?,?
357,'2020/07/02 18:17:18:993',22,9.51535,0.055069,2.06221,0.006507,0.00357,-0.01826,0.626934,0.003538,0.779065,0.000314,177.746033,0.338955,77.778572,?,?,?,?,?
358,'2020/07/02 18:17:19:032',22,9.516953,0.063049,2.110886,0.006507,0.00357,-0.01826,-0.625689,-0.003942,-0.780062,0.000314,179.321869,0.330009,77.581367,?,?,?,?,?
359,'2020/07/02 18:17:19:206',22,9.514557,0.055862,2.119659,0.00093,-0.002222,-0.002212,-0.625402,-0.004186,-0.780291,0.000623,179.321869,0.330009,77.581367,?,?,?,?,?
360,'2020/07/02 18:17:19:251',22,9.502579,0.061447,2.135635,0.00093,-0.002222,-0.002212,-0.625265,-0.003916,-0.780403,0.000488,179.99881,0.32969,77.425232,?,?,?,?,?
361,'2020/07/02 18:17:19:515',22,9.508163,0.058258,2.130844,-0.000387,0.000831,0.000916,-0.625006,-0.004191,-0.780608,0.000713,179.404999,0.323813,77.367134,?,?,?,?,?
362,'2020/07/02 18:17:19:522',22,9.516953,0.052673,2.145996,-0.000387,0.000831,0.000916,-0.624985,-0.003878,-0.780627,0.000379,179.404999,0.323813,77.367134,?,?,?,?,?
363,'2020/07/02 18:20:58:290',23,0.057465,-0.007187,10.132263,0.002802,-0.002719,0.001217,-0.002885,-0.000385,-0.981474,0.191575,157.921295,0.016411,0.338467,?,?,?,?,?
364,'2020/07/02 18:20:58:392',23,0.057465,-0.011978,10.115509,0.002802,-0.002719,0.001217,-0.00294,-0.000259,-0.981493,0.191475,157.921295,0.016411,0.338467,?,?,?,?,?
365,'2020/07/02 18:20:58:489',23,0.05986,-0.011978,10.129868,-0.001818,-0.005609,0.001779,-0.00291,-0.000197,-0.981489,0.191497,157.921295,0.016411,0.338467,?,?,?,?,?
366,'2020/07/02 18:20:58:590',23,0.064636,-0.009583,10.122681,-0.001818,-0.005609,0.001779,-0.002866,-0.00019,-0.981478,0.191551,156.703705,0.04168,0.331608,?,?,?,?,?
367,'2020/07/02 18:20:58:696',23,0.045486,0,10.110718,-0.000821,0.000499,-0.002013,-0.002845,-0.00032,-0.981467,0.19161,156.703705,0.04168,0.331608,?,?,?,?,?
368,'2020/07/02 18:20:58:797',23,0.050278,0.002396,10.125076,-0.000821,0.000499,-0.002013,-0.002764,-0.00032,-0.981447,0.191714,156.390747,0.026448,0.327059,?,?,?,?,?
369,'2020/07/02 18:20:59:017',23,0.062256,-0.007187,10.122681,0.000158,0.002282,-0.0039,-0.002708,-0.000275,-0.981435,0.191775,157.159592,0.028573,0.310619,?,?,?,?,?
370,'2020/07/02 18:20:59:235',23,0.055069,-0.014359,10.115509,-0.001052,0.001932,-0.001003,-0.002751,-0.000343,-0.981443,0.191736,158.270538,0.015774,0.312732,?,?,?,?,?
371,'2020/07/02 18:20:59:296',23,0.052673,0.002396,10.115509,-0.001052,0.001932,-0.001003,-0.002777,-0.000358,-0.981448,0.191708,158.270538,0.015774,0.312732,?,?,?,?,?
372,'2020/07/02 18:20:59:451',23,0.050278,-0.002396,10.110718,0.001987,-0.00216,-0.000985,-0.002736,-0.000306,-0.981441,0.191746,155.941864,0.024746,0.319044,?,?,?,?,?
373,'2020/07/02 18:37:10:039',24,0.090973,-9.61351,1.233017,-0.058836,0.091825,-0.349343,-0.041468,-0.653499,0.753783,0.055053,166.410873,82.105759,4.370013,?,100,?,?,?
374,'2020/07/02 18:37:10:139',24,0.091782,-9.607132,1.430939,-0.058836,0.091825,-0.349343,-0.039978,-0.653264,0.754165,0.053702,168.797668,81.792946,3.791241,?,100,?,?,?
375,'2020/07/02 18:37:10:243',24,0.087784,-9.584793,1.388641,-0.056371,0.074286,-0.321699,-0.040503,-0.653332,0.75405,0.054088,168.42955,81.757927,3.836396,?,100,?,?,?
376,'2020/07/02 18:37:10:344',24,0.091782,-9.598358,1.406998,-0.056371,0.074286,-0.321699,-0.04098,-0.652696,0.75456,0.054285,168.42955,81.757927,3.836396,?,100,?,?,?
377,'2020/07/02 18:37:10:444',24,0.068634,-9.590378,1.436523,-0.024692,0.083019,-0.288367,-0.039129,-0.651615,0.755792,0.051431,168.42955,81.757927,3.836396,?,100,?,?,?
378,'2020/07/02 18:37:10:546',24,0.058258,-9.580002,1.445297,-0.024692,0.083019,-0.288367,-0.039173,-0.650912,0.756414,0.051165,172.791199,81.492157,3.05258,?,100,?,?,?
379,'2020/07/02 18:37:10:647',24,0.065445,-9.600739,1.486801,-0.02138,0.046228,-0.216671,-0.041023,-0.650195,0.756806,0.052987,172.791199,81.492157,3.05258,?,100,?,?,?
380,'2020/07/02 18:37:10:762',24,0.063843,-9.579208,1.477219,-0.02138,0.046228,-0.216671,-0.041156,-0.649815,0.75713,0.052919,168.297928,81.298843,2.580322,?,100,?,?,?
381,'2020/07/02 18:37:26:945',25,0.033524,-6.727707,7.340622,-0.002339,-0.014781,-0.017509,-0.060311,-0.357717,0.918217,0.158992,160.065201,42.581707,0.227076,?,50,?,?,?
382,'2020/07/02 18:37:27:001',25,0.021545,-6.706161,7.350204,0.00207,-0.019725,-0.024592,-0.059894,-0.356377,0.918841,0.158552,159.994049,42.445255,0.224203,?,50,?,?,?
383,'2020/07/02 18:37:27:134',25,0.023941,-6.698975,7.345413,0.00207,-0.019725,-0.024592,-0.060128,-0.355764,0.918937,0.159282,159.994049,42.445255,0.224203,?,50,?,?,?
384,'2020/07/02 18:37:27:203',25,0.031128,-6.679825,7.364563,0.002137,-0.011602,-0.012035,-0.059971,-0.35536,0.919155,0.158987,159.345779,42.299374,0.218848,?,50,?,?,?
385,'2020/07/02 18:37:27:359',25,0.031128,-6.684616,7.37175,0.002137,-0.011602,-0.012035,-0.060566,-0.35519,0.918923,0.160474,159.345779,42.299374,0.218848,?,50,?,?,?
386,'2020/07/02 18:37:27:402',25,0.028732,-6.687012,7.362167,-0.000516,-0.002163,-0.001658,-0.060455,-0.355274,0.918918,0.160358,159.51387,42.232784,0.211968,?,50,?,?,?
387,'2020/07/02 18:39:43:114',26,9.669388,0.057465,1.309631,0.000854,-0.002451,0.080291,-0.659109,-0.006294,-0.752017,0.00262,178.698303,0.352934,82.125351,?,?,97,?,?
388,'2020/07/02 18:39:43:213',26,9.670975,0.053467,1.193115,0.000854,-0.002451,0.080291,-0.659971,-0.006197,-0.751262,0.002375,179.426224,0.344517,82.46833,?,?,97,?,?
389,'2020/07/02 18:39:43:319',26,9.674179,0.054276,1.241791,-0.004641,-0.001913,0.116751,-0.660142,-0.006184,-0.751111,0.002457,179.426224,0.344517,82.46833,?,?,97,?,?
390,'2020/07/02 18:39:43:414',26,9.664597,0.055862,1.237808,-0.004641,-0.001913,0.116751,-0.661562,-0.005992,-0.749863,0.002318,179.619629,0.343663,82.664902,?,?,97,?,?
391,'2020/07/02 18:39:43:618',26,9.675766,0.062256,1.197891,-0.011416,-0.001956,0.119183,-0.662937,-0.006286,-0.748644,0.002572,179.619629,0.343663,82.664902,?,?,97,?,?
392,'2020/07/02 18:39:43:625',26,9.682953,0.050278,1.166779,-0.001981,-0.001714,0.024028,-0.66398,-0.004058,-0.74774,0.000005,179.136703,0.347155,83.170464,?,?,97,?,?
393,'2020/07/02 18:39:43:874',26,9.674179,0.048676,1.174759,-0.001981,-0.001714,0.024028,0.663946,0.003186,0.747774,0.00073,178.907257,0.333599,83.157677,?,?,97,?,?
394,'2020/07/02 18:39:43:906',26,9.679764,0.046295,1.115692,-0.001571,-0.001206,0.01824,0.664331,0.002605,0.747433,0.00133,178.907257,0.333599,83.157677,?,?,97,?,?
395,'2020/07/02 18:39:44:095',26,9.687729,0.053467,1.153214,-0.001571,-0.001206,0.01824,0.66377,0.002108,0.747931,0.001815,179.641144,0.318911,83.254051,?,?,97,?,?
